id	rate
67460	0.841
49031	0.824
83850	1.164
49046	1.250
80537	0.973
49048	1.014
51101	0.914
59301	0.616
75702	0.787
24504	1.044
49085	0.719
49087	0.000
49091	0.706
84015	1.245
98258	0.695
24531	1.028
57301	0.814
67544	2.419
67550	0.750
49120	1.313
57313	0.000
98284	1.221
53233	0.879
98290	0.592
24563	1.250
71671	1.309
